"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","Uniprot"
"ENSG00000172403",9228.92524751233,1.7174960378871,0.267305122841388,6.42522679562044,1.31673052537797e-10,8.86305946971084e-09,"SYNPO2","Q9UMS6"
"ENSG00000182552",1076.4276583749,1.08901185875969,0.169483927314866,6.42545801252607,1.31473052346184e-10,8.86305946971084e-09,"RWDD4","E7EV43"
"ENSG00000067082",3251.07269442946,1.0030588161741,0.156369308474249,6.41467834040647,1.41120502528318e-10,9.42311576993496e-09,"KLF6","D3GC14"
"ENSG00000107338",346.317273057369,-0.930894548353778,0.145122308076153,-6.41455170259071,1.41237852741845e-10,9.42311576993496e-09,"SHB","Q15464"
"ENSG00000124702",1042.62385313163,0.62858513997837,0.0980765773575495,6.40912598006749,1.46356223083853e-10,9.72177630967086e-09,"KLHDC3","Q9BQ90"
"ENSG00000107968",518.417869348272,1.04586161821082,0.163522336417115,6.39583338353863,1.59674044340692e-10,1.056010219013e-08,"MAP3K8","P41279"
"ENSG00000154767",1862.38409749906,-0.582289419928795,0.0910632473098883,-6.39434060535161,1.61241648270669e-10,1.06174120133012e-08,"XPC","Q01831"
"ENSG00000205978",1619.01985391599,-1.14993391448774,0.180074041188763,-6.38589497351438,1.70397924324283e-10,1.11717600168453e-08,"NYNRIN","Q9P2P1"
"ENSG00000113719",6880.15736766063,0.779903893942678,0.122323074960031,6.37577083634881,1.82044965852624e-10,1.18839267579223e-08,"ERGIC1","Q969X5"
"ENSG00000243244",1803.38725690852,1.36928127599154,0.215309599041788,6.3595923362701,2.02289899208736e-10,1.31488434485678e-08,"STON1","Q9Y6Q2"
"ENSG00000128699",1837.30741529404,1.04145064403484,0.16415378946675,6.34435944133832,2.23352800537456e-10,1.44558895903409e-08,"ORMDL1","Q9P0S3"
"ENSG00000172939",1236.30437978796,0.477043169917685,0.0752254057228634,6.3415167433613,2.27514025385731e-10,1.46625528275187e-08,"OXSR1","A0A024R2M7"
"ENSG00000214814",258.66807379434,-3.09424239892909,0.48850649351259,-6.33408652703886,2.38751507081118e-10,1.53190380039595e-08,"FER1L6","Q2WGJ9"
"ENSG00000214944",635.215713829466,1.0863733192774,0.171529198710064,6.33346000242036,2.39723473551562e-10,1.53190380039595e-08,"ARHGEF28","Q8N1W1"
"ENSG00000164294",3507.75986925622,-0.48881765223218,0.0772793442441188,-6.32533385231696,2.52685661414443e-10,1.60795140425283e-08,"GPX8","Q8TED1"
"ENSG00000083290",1549.36124054848,1.22116051366065,0.193112388920776,6.32357416572392,2.555814456889e-10,1.6195736380579e-08,"ULK2","Q8IYT8"
"ENSG00000100033",55.0214985454832,3.94350910050379,0.624135509426312,6.3183540127825,2.64363864891564e-10,1.66824613907614e-08,"PRODH","O43272"
"ENSG00000072210",956.239056328403,-1.06932082603022,0.16939415063995,-6.31261954436124,2.74351383698575e-10,1.72408784486096e-08,"ALDH3A2","P51648"
"ENSG00000168917",252.590790996742,0.822834990224813,0.130397382693166,6.3102109354526,2.78655414893252e-10,1.74389928039599e-08,"SLC35G2","Q8TBE7"
"ENSG00000132155",2894.66488502842,0.824731034898228,0.130780228146075,6.30623639818893,2.85902254320512e-10,1.78188874143381e-08,"RAF1","L7RRS6"
"ENSG00000241553",2036.7939347824,0.489389633542579,0.0782372187743879,6.2552023347587,3.97000866824019e-10,2.46417136395482e-08,"ARPC4","P59998"
